,Fecha,Numero_Viajes
37,2019-01-01,3754
18,2019-01-02,17252
0,2019-01-03,19927
1,2019-01-06,9457
30,2019-01-07,25996
36,2019-01-08,27710
19,2019-01-09,28372
11,2019-01-11,27774
17,2019-01-12,12394
12,2019-01-13,10209
7,2019-01-14,28746
8,2019-01-15,29686
34,2019-01-16,30089
27,2019-01-17,29077
5,2019-01-21,28815
20,2019-01-23,29508
25,2019-01-24,26702
14,2019-01-25,27716
19,2019-01-25,2
26,2019-01-26,12546
2,2019-01-28,29122
8,2019-01-28,1
21,2019-01-29,30437
21,2019-01-29,1
3,2019-01-30,29873
11,2019-01-30,2
18,2019-01-31,74
5,2019-02-01,27592
3,2019-02-01,1
34,2019-02-02,11465
12,2019-02-03,9290
42,2019-02-05,1
36,2019-02-05,29746
25,2019-02-06,1
27,2019-02-07,30315
26,2019-02-09,1
26,2019-02-09,12982
17,2019-02-10,11544
30,2019-02-13,27016
0,2019-02-15,29950
14,2019-02-19,32356
25,2019-02-20,31943
7,2019-02-21,31487
19,2019-02-22,1
20,2019-02-24,11399
3,2019-02-25,28366
1,2019-02-26,1
2,2019-02-26,32622
1,2019-02-27,32419
0,2019-02-27,1
34,2019-02-28,89
36,2019-03-01,1
40,2019-03-01,29887
12,2019-03-02,13260
3,2019-03-03,1
7,2019-03-04,26394
5,2019-03-05,28921
27,2019-03-07,31490
18,2019-03-08,1
17,2019-03-10,12239
37,2019-03-14,32199
26,2019-03-16,11950
30,2019-03-17,9741
25,2019-03-17,1
18,2019-03-20,32133
21,2019-03-21,31029
2,2019-03-22,29687
36,2019-03-25,30774
20,2019-03-26,32346
39,2019-03-27,32576
11,2019-03-28,31992
8,2019-03-29,30391
14,2019-03-30,14853
7,2019-03-31,28
11,2019-04-01,31542
34,2019-04-02,33571
5,2019-04-03,32716
26,2019-04-04,31021
0,2019-04-05,30425
12,2019-04-12,30409
18,2019-04-15,26882
27,2019-04-18,10941
14,2019-04-19,8446
2,2019-04-21,9478
1,2019-04-22,26482
20,2019-04-23,30125
17,2019-04-23,1
8,2019-04-25,29736
19,2019-04-26,21801
17,2019-04-27,51
8,2019-04-28,1
30,2019-04-29,28905
30,2019-04-29,1
21,2019-04-30,30235
20,2019-04-30,70
21,2019-04-30,1
25,2019-05-01,1
2,2019-05-02,29602
14,2019-05-03,28499
5,2019-05-04,12459
3,2019-05-06,30472
7,2019-05-08,31812
0,2019-05-09,30842
1,2019-05-11,12048
12,2019-05-13,30011
37,2019-05-14,30268
27,2019-05-17,24287
20,2019-05-19,1
19,2019-05-20,29722
36,2019-05-21,29757
34,2019-05-22,31080
7,2019-05-25,1
26,2019-05-27,30381
25,2019-05-29,31994
11,2019-05-30,31742
14,2019-05-30,1
21,2019-05-31,28542
21,2019-06-02,11080
34,2019-06-04,30536
12,2019-06-08,13480
5,2019-06-09,11781
7,2019-06-11,32536
8,2019-06-13,27449
26,2019-06-14,1
25,2019-06-14,28715
3,2019-06-15,13093
2,2019-06-16,1
1,2019-06-16,10278
27,2019-06-17,30092
0,2019-06-21,28869
30,2019-06-22,13260
11,2019-06-23,9461
19,2019-06-25,29280
19,2019-06-26,1
17,2019-06-26,29676
1,2019-06-28,2
2,2019-06-28,28091
1,2019-06-28,1
18,2019-06-29,7
18,2019-06-29,13589
30,2019-07-01,27540
3,2019-07-06,11694
37,2019-07-07,11205
40,2019-07-09,30390
5,2019-07-11,27501
20,2019-07-12,25231
27,2019-07-13,10622
11,2019-07-14,10024
34,2019-07-16,29159
12,2019-07-18,23946
8,2019-07-19,25176
0,2019-07-21,10205
17,2019-07-23,26019
37,2019-07-24,1
21,2019-07-25,18169
36,2019-07-28,9841
39,2019-07-29,27295
14,2019-07-30,29617
17,2019-07-30,5
26,2019-08-01,29370
8,2019-08-02,27295
11,2019-08-03,12440
39,2019-08-04,10829
34,2019-08-05,24023
14,2019-08-07,26972
18,2019-08-08,30270
5,2019-08-09,26657
2,2019-08-10,12907
7,2019-08-11,10179
40,2019-08-15,30218
25,2019-08-18,10937
30,2019-08-19,29266
20,2019-08-20,31164
36,2019-08-22,27990
3,2019-08-23,27442
12,2019-08-24,12470
0,2019-08-25,11498
19,2019-08-26,29784
21,2019-08-28,32061
3,2019-08-30,2
18,2019-08-31,50
27,2019-08-31,13463
1,2019-09-02,30913
11,2019-09-04,31061
2,2019-09-06,29321
8,2019-09-07,12008
19,2019-09-10,26991
5,2019-09-13,26250
17,2019-09-14,10496
7,2019-09-15,8615
26,2019-09-16,6549
30,2019-09-17,26714
27,2019-09-18,26237
12,2019-09-19,25379
34,2019-09-20,25841
25,2019-09-22,11309
20,2019-09-23,30155
14,2019-09-27,29399
0,2019-09-28,12838
