Ranking,Restaurant,City
No.1,Mirazur,"Menton, France"
No.2,Noma,"Copenhagen, Denmark"
No.3,Asador Etxebarri,"Axpe, Spain"
No.4,Gaggan,"Bangkok, Thailand"
No.5,Geranium,"Copenhagen, Denmark"
No.6,Central,"Lima, Peru"
No.7,Mugaritz,"San Sebastián, Spain"
No.8,Arpège,"Paris, France"
No.9,Disfrutar,"Barcelona, Spain"
No.10,Maido,"Lima, Peru"
No.11,Den,"Tokyo, Japan"
No.12,Pujol,"Mexico City, Mexico"
No.13,White Rabbit,"Moscow, Russia"
No.14,Azurmendi,"Larrabetzu, Spain"
No.15,Septime,"Paris, France"
No.16,Alain Ducasse au Plaza Athénée,"Paris, France"
No.17,Steirereck,"Vienna, Austria"
No.18,Odette,Singapore
No.19,Twins Garden,"Moscow, Russia"
No.20,Tickets,"Barcelona, Spain"
No.21,Frantzén,"Stockholm, Sweden"
No.22,Narisawa,"Tokyo, Japan"
No.23,Cosme,"New York, USA"
No.24,Quintonil,"Mexico City, Mexico"
No.25,Alléno Paris au Pavillon Ledoyen,"Paris, France"
No.26,Boragó,"Santiago, Chile"
No.27,The Clove Club,"London, UK"
No.28,Blue Hill at Stone Barns,"Pocantico Hills, USA"
No.29,Piazza Duomo,"Alba, Italy"
No.30,Elkano,"Getaria, Spain"
No.31,Le Calandre,"Rubano, Italy"
No.32,Nerua Guggenheim Bilbao,"Bilbao, Spain"
No.33,Lyle's,"London, UK"
No.34,Don Julio,"Buenos Aires, Argentina"
No.35,Atelier Crenn,"San Francisco, USA"
No.36,Le Bernardin,"New York, USA"
No.37,Alinea,"Chicago, USA"
No.38,Hiša Franko,"Kobarid, Slovenia"
No.39,A Casa do Porco,"São Paulo, Brazil"
No.40,Restaurant Tim Raue,"Berlin, Germany"
No.41,The Chairman,"Hong Kong, China"
No.42,Belcanto,"Lisbon, Portugal"
No.43,Hof Van Cleve,"Kruisem, Belgium"
No.44,The Test Kitchen,"Cape Town, South Africa"
No.45,Sühring,"Bangkok, Thailand"
No.46,De Librije,"Zwolle, The Netherlands"
No.47,Benu,"San Francisco, USA"
No.48,Ultraviolet by Paul Pairet,"Shanghai, China"
No.49,Leo,"Bogotá, Colombia"
No.50,Schloss Schauenstein,"Fürstenau, Switzerland"
No.51,Reale,"Castel di Sangro, Italy"
No.52,Mikla,"Istanbul, Turkey"
No.53,Arzak,"San Sebastian, Spain"
No.54,D.O.M.,"São Paulo, Brazil"
No.55,Maaemo,"Oslo, Norway"
No.56,Relae,"Copenhagen, Denmark"
No.57,Nobelhart & Schmutzig,"Berlin, Germany"
No.58,Sud 777,"Mexico City, Mexico"
No.59,Burnt Ends,Singapore
No.60,Indian Accent,"New Delhi, India"
No.61,Uliassi,"Senigallia, Italy"
No.62,Nihonryori RyuGin,"Tokyo, Japan"
No.63,Florilège,"Tokyo, Japan"
No.64,The Ledbury,"London, UK"
No.65,Selfie,"Moscow, Russia"
No.66,Core by Clare Smyth,"London, UK"
No.67,Astrid y Gastón,"Lima, Peru"
No.68,Fäviken,"Järpen, Sweden"
No.69,Nahm,"Bangkok, Thailand"
No.70,Saison,"San Francisco, USA"
No.71,SingleThread,"Healdsburg, USA"
No.72,Aqua,"Wolfsburg, Germany"
No.73,Maní,"São Paulo, Brazil"
No.74,Lasai,"Rio de Janeiro, Brazil"
No.75,Diverxo,"Madrid, Spain"
No.76,Momofuku Ko,"New York, USA"
No.77,Chef's Table At Brooklyn Fare,"New York, USA"
No.78,Lido 84,"Gardone Riviera, Italy"
No.79,Mingles,"Seoul, Korea"
No.80,Estela,"New York, USA"
No.81,Quique Dacosta,"Denia, Spain"
No.82,Enigma,"Barcelona, Spain"
No.83,Dinner by Heston Blumenthal,"London, UK"
No.84,Attica,"Melbourne, Australia"
No.85,Amass,"Copenhagen, Denmark"
No.86,Tegui,"Buenos Aires, Argentina"
No.87,Martin Berasategui,"Lasarte-Oria, Spain"
No.88,Lung King Heen,"Hong Kong, China"
No.89,108,"Copenhagen, Denmark"
No.90,Alo,"Toronto, Canada"
No.91,Sushi Saito,"Tokyo, Japan"
No.92,Harvest,"St. Petersburg, Russia"
No.93,La Cime,"Osaka, Japan"
No.94,Aponiente,"El Puerto de Santa María, Spain"
No.95,Gaa,"Bangkok, Thailand"
No.96,Belon,"Hong Kong, China"
No.97,Vendôme,"Bergisch Gladbach, Germany"
No.98,Anne-Sophie Pic,"Valence, France"
No.99,The Jane,"Antwerp, Belgium"
No.100,Oteque,"Rio de Janeiro, Brazil"
No.101,Brae,"Birregurra, Australia"
No.102,Amber,"Hong Kong, China"
No.103,Jade Dragon,"Macao, China"
No.104,Cococo,"St. Petersburg, Russia"
No.105,Kadeau,"Copenhagen, Denmark"
No.106,Restaurant David Toutain,"Paris, France"
No.107,Il Ristorante Luca Fantin,"Tokyo, Japan"
No.108,L'Astrance,"Paris, France"
No.109,Alcalde,"Guadalajara, Mexico"
No.110,Neolokal,"Istanbul, Turkey"
No.111,Chambre Séparée,"Ghent, Belgium"
No.112,St John,"London, UK"
No.113,Vea,"Hong Kong, China"
No.114,La Colombe,"Cape Town, South Africa"
No.115,Per Se,"New York, USA"
No.116,St. Hubertus,"San Cassiano, Italy"
No.117,Epicure,"Paris, France"
No.118,Ernst,"Berlin, Germany"
No.119,Atomix,"New York, USA"
No.120,Sugalabo,"Tokyo, Japan"
