0,news
2019-11-04 19:32:00,"[""Mexico's drug gangs churning out deadly fentanyl-laced pills: DEA""]"
2019-11-04 17:43:00,['Mexico wants to bolster economic ties with Argentina: president']
2019-11-04 17:36:00,"[""Argentina's Fernandez: debt is a problem that must be resolved""]"
2019-11-04 14:15:00,['Mexican inflation seen holding steady in October: Reuters poll']
2019-11-04 09:42:00,['Mexico will not take sides in El Salvador-Venezuela dispute-president']
2019-11-01 00:00:00,"[""Mexico says U.S. fentanyl crackdown led to botched arrest of El Chapo's son""]"
2019-11-01 00:00:00,"['Amid climate worries, Mexico doubles down on fossil fuels']"
2019-11-01 00:00:00,"[""Mexico's president says economy doing 'very well' despite weak growth""]"
2019-11-01 00:00:00,"[""Cartel gunmen terrorize Mexican city, free El Chapo's son""]"
2019-10-31 00:00:00,['Mexican president dismisses report alleging military discontent']
2019-10-31 00:00:00,['Mexico says timetable slipped slightly for U.S. to ratify trade deal']
2019-10-31 00:00:00,"[""Mexican president talks with Canada's Trudeau, aims for progress on trade""]"
2019-10-31 00:00:00,"[""Explainer: Mexico's week of bloodshed. What is going on?""]"
2019-10-31 00:00:00,"[""Mexican security forces free El Chapo's son to protect lives: minister""]"
2019-10-31 00:00:00,"[""Mexico will arrest kingpin's son provided public not at risk: president""]"
2019-10-31 00:00:00,"[""In Mexico, El Chapo's sons add brash new chapter to crime family""]"
2019-10-31 00:00:00,"[""El Chapo's son led dramatic rescue of his half brother in Mexico battle""]"
2019-10-30 00:00:00,['Clash between rival gangs leaves six dead at Mexican jail']
2019-10-30 00:00:00,"[""Pace of investments in Mexico's mining sector seen slowing""]"
2019-10-30 00:00:00,"[""'I don't want a mess': Mexico broadcasts video of El Chapo's son's arrest""]"
2019-10-30 00:00:00,"['Mexico GDP crawls forward in third quarter, economy stays weak']"
2019-10-29 00:00:00,['Mexican lawmakers vote overwhelmingly to end presidential immunity']
2019-10-29 00:00:00,['Remains of 42 people found in northern Mexican state']
