Title,Word_Appears
"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Encourages Under Armour (UA) Investors with $100K Plus Losses to Contact Its Attorneys Now, Firm Investigating Possible Securities Fraud",False
Ceremony for the 2019 Employer Branding Creativity Awards Took Place on Nov. 1st,False
BANKING AND PAYMENTS FOR GEN Z: These digital natives are the next big opportunity — here are the winning strategies,False
China Shares Tipped To See Continued Support,False
Adamis Pharmaceuticals Provides Regulatory Update for Its Higher Dose Naloxone Pre-Filled Syringe,False
"Arden Celebrates Official Grand Opening of South Florida's First Master-Planned ""Agrihood,"" Showcasing the Best in Farm-to-Table Living",False
Restaurant Industry Veteran Emad Tawfik Bringing Ohio's First MOOYAH to Middleburg Heights,False
Great Canadian Gaming Announces Third Quarter 2019 Results and Acquisition of Certain Non-controlling Interests in its Ontario Partnerships,False
Kia's Futuron Concept proposes an illuminating new design for an electric SUV coupe,False
Kia's Futuron Concept proposes an illuminating new design for an electric SUV coupe,False
When exactly is the end of the f***ing world in &#8216;The End of the F***ing World'?,False
'The End of the F***ing World' stars test their knowledge of legendary TV anti-heroes,False
Ex-Facebook head says company 'profits partly by amplifying lies',False
Chrissy Teigen is now a YouTuber,False
Boomers getting mad at everyone saying 'OK Boomer' makes it even funnier,False
"Worst reasons for Trump to quit the Paris climate pact, unranked",False
Bob Iger says to expect a &#8216;slowdown&#8217; of Disney-released &#8216;Star Wars&#8217; films,False
Apple plans to donate $2.5 billion to fight California housing crisis,False
Jessica Chastain praises Joaquin Phoenix's work in 'The Joker',False
This device opens your curtains with your voice &#8212;&#160;Future Blink,False
"8chan reappears with new name, request for users not to engage in illegal activity",False
'For All Mankind' never slows down enough to serve its clever premise,False
Everyone's laughing at Facebook's boomer rebrand to FACEBOOK,False
Why Facebook just changed its company logo,False
Man accidentally buys 1000 hens from online auction,False
Report claims Apple is teaming with Valve to develop its AR headset,False
'Dickinson' showrunner Alena Smith exclusive interview,False
Mariah Carey just dropped an iconic holiday gift guide on Amazon,False
The best pillows to shop for on Black Friday,False
Best headphones for running (AKA these are the headphones to buy on Black Friday),False
"Dell XPS, Fire tablets, MacBooks, and more laptop and tablet deals this week",False
Best fitness trackers for monitoring heart rate: Shop these during Black Friday,False
"Pre-Black Friday TV deals this week: LG, TLC, and more",False
Best sex toys for women: Shop these on Black Friday 2019,True
Shop robot vacuums for pet hair this Black Friday,False
"Think your Mac doesn't need antivirus software? Actually, it does.",False
7 of the best antivirus software for Android smartphones and tablets,False
7 of the best antivirus software options,False
Best antivirus software for Windows 10,False
Trump's still arguing that 'covfefe' tweet  had 'deep meaning' and is not 'a mistweet',False
"Trump Begins Paris Accord Exit, Devices Hacked With Lasers, and More News",False
Trump Can Now Exit the Paris Accord. It's Still a Bad Idea,False
"Where Do Hippos Wander? An Aquatic Mystery, Solved",False
Here’s What Happens When You Leave Weed Up Your Nose for 18 Years,False
Cosmic Triangles Open a Window to the Origin of Time,False
These Rats Drive Tiny Cars—for Science,False
Wildfire Chasers Are the New Tornado Chasers,False
"Your Brain Cleans Itself, This Jet Lands Itself, and More News",False
Scientists Now Know How Sleep Cleans Toxins From the Brain,False
How Measles Leaves Kids Exposed to Other Diseases,False
The Delicate Art—and Evolving Science—of Wildfire Evacuations,False
NASA Is Getting Serious About an Interstellar Mission,False
Fly Me to the Moon … With Elephants\!,False
"How Lasers Work, According to the World's Top Expert",False
Ants Never Get Stuck in Traffic Jams. Here’s Why,False
"Prepping Bees for Mars, New Google Shortcuts, and More News",False
Shifting Winds and the Changing Shape of California Fires,False
Trans Athletes Are Posting Victories and Shaking Up Sports,False
"Bees, Please: Stop Dying in Your Martian Simulator",False
California’s Wildfires Are the Doom of Our Own Making,False
"A woman was impaled by a metal pole while riding in the passenger seat of a car, but somehow miraculously survived",True
Brazil&#39;s Bolsonaro says &#39;worst is yet to come&#39; on oil spill,False
California illegal pot seizures top $1.5 billion in value,False
Iran frets as anti-government protests take hold in Iraq and Lebanon,False
Every Mid-Engined Sports Car—Including a Few You Might Afford!,False
North Korea is Missing Its Best Chance for a Deal in a Generation,False
"Lev Parnas Changes Course, Now Willing to Comply with Impeachment Probe",False
Spanish king greeted with protests in Catalonia,False
US white supremacist arrested hours before far-right conference in Norway,False
China is reportedly sending men to sleep in the same beds as Uighur Muslim women,True
Mexican cartels making &#39;mass quantities&#39; of fentanyl pills: US,False
"Assistant scoutmaster charged with sexually abusing boy, 12",False
Inside the Trump Administration&#39;s Fight to End Nationwide Injunctions,False
Here&#39;s the Real 2020 Ford Bronco in Off-Road-Racing Form,False
"‘Not our mission’: private fire crews protect the insured, not the public",False
Confirmed: China Still Insists It Won&#39;t Use Nuclear Weapons First in a War,False
Malaysia says country shielding 1MDB fugitive Jho Low refuses to cooperate,False
"California fires, rising seas: Millions of climate refugees will dwarf Dust Bowl by 2100",False
Persons of interest identified in deaths of New Hampshire couple found buried on Texas beach,False
Five wounded as knife attack caps day of Hong Kong political chaos,False
Turkey says it captured slain IS leader&#39;s sister in Syria,False
Russia Held Up an Ailing American Military Attaché From Leaving Moscow,False
South Africa Appoints New Envoys in Drive to Raise $100 Billion,False
Owner remains hopeful after Kincade Fire destroys his winery,False
A Freak Radioactive Refueling Accident Killed This Russian Submarine,False
"China offers more access for Taiwan firms, Taiwan warns of a trap",False
EPA Rolls Back Obama Admin Regulation on Coal Plant Waste,False
Turkey&#39;s Erdogan may call off a visit to Washington next week in protest,False
"Gay man on US death row appeals for stay of execution, citing jury prejudice",False
Cyprus &#39;golden passports&#39; to be revoked if wrongdoing found,False
"CVS rejects Purdue student&#39;s Puerto Rican ID, asks for immigration papers to buy cold medicine",False
Spy Wife Anne Sacoolas in Secret Talks Over Death of Teen Harry Dunn,False
PG&E CEO Causes Outrage After Saying Struggling California Residents’ Houses Are ‘Still There’ Because of Blackouts,False
This Is How Russia Commits &quot;Lawfare&quot; Around The World,False
China’s Xi Backs Lam’s Leadership Amid Hong Kong Protest Chaos,False
NASA probe provides insight on solar system&#39;s distinct boundary,False
U.S. targets Iranian top leader&#39;s inner circle with new sanctions,False
Romania parliament gives green light to minority liberal govt,False
NYPD commissioner resigning; top deputy to take his place,False
40 distressing photos show glaciers disappearing around the world,False
Pregnant Florida Woman Kills Home Intruder with AR-15,True
The flight pattern of a 747 on its final journey made a plane: See El Al&#39;s &#39;sky painting&#39;,False
This Is How The Air Force Wants The F-35 To Beat Russia&#39;s S-400,False
Cake censorship: Hong Kong protests spread to UK cake contest as entry disqualified,False
"The Ukrainian orphan at the center of an adoption scandal says she&#39;s a teenager, and none of her adoptive parents&#39; claims are true",False
UPDATE 2-Police find 41 migrants alive in truck in northern Greece,False
Islamists vow to continue Pakistan protest after PM refuses to resign,False
US envoy calls EU decision on Balkans &#39;historic mistake&#39;,False
Trump Ukraine scandal: House impeachment vote just made things trickier for Republicans,False
FBI Investigating Theft of U.S. Biomedical Research by Scientists Linked to China,False
