,Fecha,BJU,MER,MGH,Hora
0,2019-01-01,12.7,13.3,13.8,01:00
1,2019-01-01,12.0,12.7,12.7,02:00
2,2019-01-01,11.1,11.7,12.2,03:00
3,2019-01-01,11.0,11.0,11.8,04:00
4,2019-01-01,10.2,10.0,11.0,05:00
5,2019-01-01,9.7,9.5,10.5,06:00
6,2019-01-01,9.2,9.1,9.9,07:00
7,2019-01-01,8.7,8.9,9.8,08:00
8,2019-01-01,10.6,10.6,11.2,09:00
9,2019-01-01,12.8,12.5,13.1,10:00
10,2019-01-01,14.7,14.6,15.2,11:00
11,2019-01-01,16.6,16.6,17.2,12:00
12,2019-01-01,19.1,18.7,19.2,13:00
13,2019-01-01,20.4,20.4,21.2,14:00
14,2019-01-01,21.8,21.5,21.7,15:00
15,2019-01-01,22.4,22.6,22.8,16:00
16,2019-01-01,22.5,22.5,23.0,17:00
17,2019-01-01,21.6,21.2,21.9,18:00
18,2019-01-01,19.8,19.5,20.4,19:00
19,2019-01-01,18.0,18.1,18.4,20:00
20,2019-01-01,16.9,17.0,16.2,21:00
21,2019-01-01,16.2,16.1,15.5,22:00
22,2019-01-01,15.7,15.2,14.9,23:00
23,2019-01-01,14.9,14.2,14.1,24:00
24,2019-01-02,13.7,13.5,13.6,01:00
25,2019-01-02,12.8,12.8,13.2,02:00
26,2019-01-02,11.9,11.8,12.5,03:00
27,2019-01-02,11.0,10.1,11.9,04:00
28,2019-01-02,10.1,8.5,11.1,05:00
29,2019-01-02,9.4,8.0,10.5,06:00
30,2019-01-02,8.7,8.0,9.9,07:00
31,2019-01-02,8.5,8.1,9.2,08:00
32,2019-01-02,9.3,9.0,9.9,09:00
33,2019-01-02,10.3,10.1,11.6,10:00
34,2019-01-02,13.0,12.1,13.7,11:00
35,2019-01-02,15.7,14.6,15.8,12:00
36,2019-01-02,17.4,17.2,18.0,13:00
37,2019-01-02,19.1,18.6,19.4,14:00
38,2019-01-02,19.8,20.7,20.3,15:00
39,2019-01-02,20.1,20.7,20.3,16:00
40,2019-01-02,21.3,20.8,20.8,17:00
41,2019-01-02,20.6,19.5,20.3,18:00
42,2019-01-02,18.7,18.3,19.0,19:00
43,2019-01-02,16.6,16.8,16.9,20:00
44,2019-01-02,14.9,15.6,15.7,21:00
45,2019-01-02,13.7,14.4,14.2,22:00
46,2019-01-02,13.2,13.7,13.3,23:00
47,2019-01-02,11.9,13.0,12.8,24:00
48,2019-01-03,11.6,11.8,12.2,01:00
49,2019-01-03,10.6,11.0,11.9,02:00
50,2019-01-03,10.2,10.5,11.2,03:00
51,2019-01-03,9.3,9.6,10.5,04:00
52,2019-01-03,9.0,9.4,9.9,05:00
53,2019-01-03,8.6,9.0,10.1,06:00
54,2019-01-03,8.5,8.9,10.1,07:00
55,2019-01-03,8.6,9.0,9.9,08:00
56,2019-01-03,9.7,9.7,10.1,09:00
57,2019-01-03,11.3,11.0,11.8,10:00
58,2019-01-03,13.6,13.0,14.9,11:00
59,2019-01-03,15.7,15.5,16.4,12:00
60,2019-01-03,17.2,17.3,17.7,13:00
61,2019-01-03,18.8,18.6,19.1,14:00
62,2019-01-03,20.3,20.0,20.1,15:00
63,2019-01-03,21.1,21.3,21.5,16:00
64,2019-01-03,21.4,21.8,21.6,17:00
65,2019-01-03,20.8,20.6,21.1,18:00
66,2019-01-03,18.6,18.4,19.4,19:00
67,2019-01-03,16.8,16.8,17.7,20:00
68,2019-01-03,15.5,16.0,16.4,21:00
69,2019-01-03,14.5,15.4,15.1,22:00
70,2019-01-03,13.9,14.4,14.1,23:00
71,2019-01-03,13.2,13.4,13.8,24:00
72,2019-01-04,12.4,12.7,13.0,01:00
73,2019-01-04,11.9,12.2,12.6,02:00
74,2019-01-04,11.5,12.0,12.2,03:00
75,2019-01-04,10.8,11.0,11.8,04:00
76,2019-01-04,10.5,10.5,11.4,05:00
77,2019-01-04,10.4,10.4,11.0,06:00
78,2019-01-04,9.6,10.1,11.2,07:00
79,2019-01-04,9.4,9.6,10.8,08:00
80,2019-01-04,11.1,11.0,12.4,09:00
81,2019-01-04,13.6,13.6,14.0,10:00
82,2019-01-04,16.0,15.8,16.2,11:00
83,2019-01-04,17.8,18.2,18.1,12:00
84,2019-01-04,19.5,19.6,19.5,13:00
85,2019-01-04,20.5,20.6,20.6,14:00
86,2019-01-04,21.2,21.6,22.0,15:00
87,2019-01-04,21.9,22.2,22.3,16:00
88,2019-01-04,21.9,22.3,22.1,17:00
89,2019-01-04,21.4,21.5,21.1,18:00
90,2019-01-04,19.8,19.8,20.4,19:00
91,2019-01-04,18.5,18.8,19.3,20:00
92,2019-01-04,17.7,17.6,17.7,21:00
93,2019-01-04,16.9,16.4,16.8,22:00
94,2019-01-04,16.3,16.1,15.9,23:00
95,2019-01-04,15.8,15.4,15.3,24:00
96,2019-01-05,15.3,14.8,14.8,01:00
97,2019-01-05,14.2,14.1,14.2,02:00
98,2019-01-05,12.6,12.8,13.5,03:00
99,2019-01-05,12.3,11.8,12.8,04:00
100,2019-01-05,11.8,11.6,12.3,05:00
101,2019-01-05,11.1,11.3,11.9,06:00
102,2019-01-05,10.7,10.5,11.8,07:00
103,2019-01-05,10.7,10.4,11.5,08:00
104,2019-01-05,11.7,11.6,12.4,09:00
105,2019-01-05,13.5,13.3,14.2,10:00
106,2019-01-05,15.7,15.6,16.4,11:00
107,2019-01-05,17.8,17.8,18.5,12:00
108,2019-01-05,20.0,19.9,20.3,13:00
109,2019-01-05,21.2,21.3,21.6,14:00
110,2019-01-05,22.0,22.3,22.3,15:00
111,2019-01-05,22.9,22.9,22.7,16:00
112,2019-01-05,22.7,22.9,22.6,17:00
113,2019-01-05,22.1,22.2,21.8,18:00
114,2019-01-05,21.3,21.1,20.7,19:00
115,2019-01-05,20.3,19.7,19.3,20:00
116,2019-01-05,18.9,18.2,18.1,21:00
117,2019-01-05,17.7,17.4,16.8,22:00
118,2019-01-05,16.8,16.3,15.8,23:00
119,2019-01-05,16.0,15.5,15.5,24:00
120,2019-01-06,14.9,14.8,14.5,01:00
121,2019-01-06,14.3,14.3,14.1,02:00
122,2019-01-06,13.0,13.6,13.7,03:00
123,2019-01-06,12.3,12.7,13.3,04:00
124,2019-01-06,11.8,11.8,12.8,05:00
125,2019-01-06,11.4,11.5,12.4,06:00
126,2019-01-06,11.0,11.0,11.9,07:00
127,2019-01-06,10.8,10.1,11.6,08:00
128,2019-01-06,11.7,11.1,12.7,09:00
129,2019-01-06,13.5,13.4,14.8,10:00
130,2019-01-06,16.2,16.3,17.3,11:00
131,2019-01-06,18.6,18.7,19.4,12:00
132,2019-01-06,20.3,20.4,20.4,13:00
133,2019-01-06,21.4,21.9,21.6,14:00
134,2019-01-06,22.2,22.5,22.4,15:00
135,2019-01-06,22.7,22.9,23.0,16:00
136,2019-01-06,23.0,22.9,23.0,17:00
137,2019-01-06,22.7,22.3,22.3,18:00
138,2019-01-06,21.6,20.9,20.7,19:00
139,2019-01-06,20.5,19.9,19.3,20:00
140,2019-01-06,18.9,18.8,18.3,21:00
141,2019-01-06,18.1,17.2,17.7,22:00
142,2019-01-06,17.2,16.7,16.7,23:00
143,2019-01-06,15.6,16.1,15.8,24:00
144,2019-01-07,14.5,14.9,14.9,01:00
145,2019-01-07,13.5,13.6,14.4,02:00
146,2019-01-07,13.0,12.8,13.6,03:00
147,2019-01-07,12.2,12.2,13.1,04:00
148,2019-01-07,11.9,11.7,12.4,05:00
149,2019-01-07,11.0,10.9,12.3,06:00
150,2019-01-07,10.6,9.9,11.8,07:00
151,2019-01-07,10.6,10.1,11.6,08:00
152,2019-01-07,12.3,12.1,13.3,09:00
153,2019-01-07,14.4,13.5,15.0,10:00
154,2019-01-07,16.9,15.8,18.1,11:00
155,2019-01-07,19.9,19.1,20.2,12:00
156,2019-01-07,20.8,21.1,21.3,13:00
157,2019-01-07,21.8,22.0,21.7,14:00
158,2019-01-07,22.3,22.6,22.4,15:00
159,2019-01-07,22.9,23.1,22.8,16:00
160,2019-01-07,22.7,23.0,22.6,17:00
161,2019-01-07,22.1,21.9,21.7,18:00
162,2019-01-07,21.1,20.6,20.7,19:00
163,2019-01-07,19.6,19.0,19.3,20:00
164,2019-01-07,17.9,17.2,17.8,21:00
165,2019-01-07,16.5,15.8,16.1,22:00
166,2019-01-07,15.7,15.0,15.0,23:00
167,2019-01-07,14.8,14.3,13.9,24:00
168,2019-01-08,13.7,13.2,13.4,01:00
169,2019-01-08,12.3,12.7,12.6,02:00
170,2019-01-08,11.5,11.6,11.9,03:00
171,2019-01-08,10.6,10.2,11.2,04:00
172,2019-01-08,10.2,9.2,10.2,05:00
173,2019-01-08,9.6,8.4,10.0,06:00
174,2019-01-08,9.0,8.1,9.8,07:00
175,2019-01-08,8.6,7.9,9.3,08:00
176,2019-01-08,9.6,7.9,10.3,09:00
177,2019-01-08,11.3,10.0,12.5,10:00
178,2019-01-08,13.0,12.7,14.0,11:00
179,2019-01-08,15.1,14.8,15.8,12:00
180,2019-01-08,17.3,17.1,18.2,13:00
181,2019-01-08,19.1,19.1,19.8,14:00
182,2019-01-08,20.7,20.8,21.1,15:00
183,2019-01-08,22.0,22.1,21.9,16:00
184,2019-01-08,22.5,22.8,22.3,17:00
185,2019-01-08,22.2,22.1,21.9,18:00
186,2019-01-08,20.4,19.6,19.9,19:00
187,2019-01-08,18.6,17.8,17.4,20:00
188,2019-01-08,16.6,16.2,15.7,21:00
189,2019-01-08,15.4,14.8,14.5,22:00
190,2019-01-08,14.4,14.1,13.6,23:00
191,2019-01-08,13.6,13.2,13.2,24:00
192,2019-01-09,12.8,12.2,12.3,01:00
193,2019-01-09,12.0,11.1,11.6,02:00
194,2019-01-09,10.6,10.1,10.8,03:00
