destino_turistico,pais-ciudad,descripcion,link
Casas Flotantes de Ámsterdam,NL,"Ámsterdam se caracteriza por sus canales, sus calles llenas de bicis, sus antiguos coffe shops...",https://www.viajerosporelmundo.com/explora-el-mundo/casas-flotantes-de-amsterdam/
Zaanse Schans: La ruta de los molinos,NL,"Vas a Ámsterdam y quieres conocer uno de sus secretos mejor guardados?
Pues entonces no...",https://www.viajerosporelmundo.com/explora-el-mundo/zaanse-schans-la-ruta-de-los-molinos/
Coffe shops,NL,"Ámsterdam es mundialmente conocida por sus canales, sus bicis, sus museos… pero también por...",https://www.viajerosporelmundo.com/explora-el-mundo/coffe-shops/
Barrio Rojo,NL,En el corazón de Ámsterdam hay un barrio que se ve desde lejos por sus neones y luces de color...,https://www.viajerosporelmundo.com/explora-el-mundo/barrio-rojo/
Coffe shops,NL,"Ámsterdam es mundialmente conocida por sus canales, sus bicis, sus museos… pero también por...",https://www.viajerosporelmundo.com/explora-el-mundo/coffe-shops/
Casa de Ana Frank,NL,La Casa de Ana Frank es uno de los lugares más representativos de Ámsterdam. En ella vivieron...,https://www.viajerosporelmundo.com/explora-el-mundo/casa-de-ana-frank/
Museo Van Gogh,NL,"Vincent Van Gogh es uno de los artistas holandeses más conocidos en el mundo. Su museo, en...",https://www.viajerosporelmundo.com/explora-el-mundo/museo-van-gogh/
Canales de Ámsterdam,NL,"Los canales son a Ámsterdam lo mismo que el Partenón a Atenas, 75Km de canales y más de 1.000...",https://www.viajerosporelmundo.com/explora-el-mundo/canales-de-amsterdam/
Coffe shops,NL,"Ámsterdam es mundialmente conocida por sus canales, sus bicis, sus museos… pero también por...",https://www.viajerosporelmundo.com/explora-el-mundo/coffe-shops/
Museo Van Gogh,NL,"Vincent Van Gogh es uno de los artistas holandeses más conocidos en el mundo. Su museo, en...",https://www.viajerosporelmundo.com/explora-el-mundo/museo-van-gogh/
Rijksmuseum,NL,El Rijksmuseum (Museo Nacional)  cuenta con la mayor colección de cuadros del Siglo de Oro...,https://www.viajerosporelmundo.com/explora-el-mundo/rijksmuseum/
