nombre,tipo_evento,dia_comienzo_venta,zona_horaria,status_venta,link
Monster Jam 2020,event,2019-08-15T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/monster-jam-2020-tickets/332803?language=en-us
Monster Jam 2020 - LOGEN,event,2019-08-15T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/monster-jam-2020-logen-tickets/349631?language=en-us
Jonas Brothers | Platinum Tickets,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-%7C-platinum-tickets-tickets/341289?language=en-us
Jonas Brothers | Platinum Tickets,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-%7C-platinum-tickets-tickets/341295?language=en-us
Jonas Brothers - Happiness Begins Tour,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-happiness-begins-tour-tickets/341239?language=en-us
Jonas Brothers | All-In Premium Package,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-%7C-all-in-premium-package-tickets/341491?language=en-us
Jonas Brothers | Premium Seat,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-%7C-premium-seat-tickets/341473?language=en-us
Jonas Brothers - Happiness Begins Tour,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-happiness-begins-tour-tickets/341297?language=en-us
Jonas Brothers | Premium Package,event,2019-06-06T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/jonas-brothers-%7C-premium-package-tickets/341713?language=en-us
Billie Eilish: WHERE DO WE GO? WORLD TOUR,event,2019-10-03T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/billie-eilish-where-do-we-go-world-tour-tickets/356863?language=en-us
Billie Eilish | All-In Premium Package,event,2019-10-04T09:19:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/billie-eilish-%7C-all-in-premium-package-tickets/357481?language=en-us
Billie Eilish | Premium Seat,event,2019-10-04T09:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/billie-eilish-%7C-premium-seat-tickets/357477?language=en-us
Louis Tomlinson,event,2019-10-31T09:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/louis-tomlinson-tickets/360311?language=en-us
Lizzo | Platinum Tickets,event,2019-08-21T07:52:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/lizzo-%7C-platinum-tickets-tickets/350359?language=en-us
Lizzo,event,2019-07-12T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/lizzo-tickets/345507?language=en-us
Rex Orange County,event,2019-10-30T09:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/rex-orange-county-tickets/360579?language=en-us
Rex Orange County,event,2019-10-30T09:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/rex-orange-county-tickets/360555?language=en-us
Rex Orange County,event,2019-10-30T09:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/rex-orange-county-tickets/360571?language=en-us
Céline Dion | Platinum Tickets,event,2019-10-02T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/celine-dion-%7C-platinum-tickets-tickets/356587?language=en-us
Céline Dion | Platinum Tickets,event,2019-10-02T08:00:00Z,Europe/Berlin,onsale,https://www.ticketmaster.de/event/celine-dion-%7C-platinum-tickets-tickets/356545?language=en-us
